case	real	p4f2	reduce	stress	start_to_complete_beats	issue_beats	commits	scalar_members	packets	source_gap_beats	input_backpressure_beats	output_backpressure_beats	read_responses
v000_zurich_city_09_a_0001_s2b4_onehot7_P4F2_p692_h844	1	1	1	0	1525	1428	1428	1792	96	0	1408	0	112
v000_zurich_city_09_a_0001_s2b4_onehot7_P4F2_p692_h844	1	1	1	1	1525	1428	1428	1792	96	0	1355	152	112
v000_zurich_city_09_a_0001_s2b4_time_rows_P4F2_p692_h844	1	1	0	0	3066	2969	2114	2969	96	0	2933	0	112
v000_zurich_city_09_a_0001_s2b4_time_rows_P4F2_p692_h844	1	1	0	1	3066	2969	2114	2969	96	0	2886	154	112
v000_zurich_city_09_a_0001_s2b4_time_rows_P4F2_p692_h844	1	1	1	0	2211	2114	2114	2969	96	0	2094	0	112
v000_zurich_city_09_a_0001_s2b4_time_rows_P4F2_p692_h844	1	1	1	1	2213	2114	2114	2969	96	2	2041	154	112
v000_zurich_city_09_a_0001_s2b5_onehot7_P8F1_p864_h1055	1	0	0	0	2027	1930	1538	1930	96	0	1905	0	112
v000_zurich_city_09_a_0001_s2b5_onehot7_P8F1_p864_h1055	1	0	0	1	2028	1930	1538	1930	96	1	1844	152	112
v000_zurich_city_09_a_0001_s2b5_onehot7_P8F1_p864_h1055	1	0	1	0	1635	1538	1538	1930	96	0	1517	0	112
v000_zurich_city_09_a_0001_s2b5_onehot7_P8F1_p864_h1055	1	0	1	1	1635	1538	1538	1930	96	0	1467	153	112
v000_zurich_city_09_a_0001_s2b5_time_rows_P8F1_p864_h1055	1	0	0	0	2485	2388	1869	2388	96	0	2354	0	112
v000_zurich_city_09_a_0001_s2b5_time_rows_P8F1_p864_h1055	1	0	0	1	2485	2388	1869	2388	96	0	2299	154	112
v000_zurich_city_09_a_0001_s2b5_time_rows_P8F1_p864_h1055	1	0	1	0	1966	1869	1869	2388	96	0	1840	0	112
v000_zurich_city_09_a_0001_s2b5_time_rows_P8F1_p864_h1055	1	0	1	1	1968	1869	1869	2388	96	2	1786	154	112
v000_zurich_city_09_a_0001_s2b5_onehot7_P4F2_p864_h1055	1	1	0	0	1930	1833	1488	1833	96	0	1811	0	112
v000_zurich_city_09_a_0001_s2b5_onehot7_P4F2_p864_h1055	1	1	0	1	1930	1833	1488	1833	96	0	1753	151	112
v000_zurich_city_09_a_0001_s2b5_onehot7_P4F2_p864_h1055	1	1	1	0	1585	1488	1488	1833	96	0	1468	0	112
v000_zurich_city_09_a_0001_s2b5_onehot7_P4F2_p864_h1055	1	1	1	1	1585	1488	1488	1833	96	0	1407	153	112
v000_zurich_city_09_a_0001_s2b5_time_rows_P4F2_p864_h1055	1	1	0	0	2278	2181	1746	2181	96	0	2151	0	112
v000_zurich_city_09_a_0001_s2b5_time_rows_P4F2_p864_h1055	1	1	0	1	2280	2181	1746	2181	96	2	2092	154	112
v000_zurich_city_09_a_0001_s2b5_time_rows_P4F2_p864_h1055	1	1	1	0	1843	1746	1746	2181	96	0	1718	0	112
v000_zurich_city_09_a_0001_s2b5_time_rows_P4F2_p864_h1055	1	1	1	1	1845	1746	1746	2181	96	2	1657	154	112
v006_zurich_city_02_c_0011_s2b0_onehot7_P8F1_p28_h97	1	0	0	0	315	197	186	197	96	0	215	0	112
v006_zurich_city_02_c_0011_s2b0_onehot7_P8F1_p28_h97	1	0	0	1	330	197	186	197	96	15	165	153	112
v006_zurich_city_02_c_0011_s2b0_onehot7_P8F1_p28_h97	1	0	1	0	304	186	186	197	96	0	204	0	112
v006_zurich_city_02_c_0011_s2b0_onehot7_P8F1_p28_h97	1	0	1	1	316	186	186	197	96	12	156	153	112
v006_zurich_city_02_c_0011_s2b0_time_rows_P8F1_p28_h97	1	0	0	0	582	464	436	464	96	0	477	0	112
v006_zurich_city_02_c_0011_s2b0_time_rows_P8F1_p28_h97	1	0	0	1	592	464	436	464	96	10	426	153	112
v006_zurich_city_02_c_0011_s2b0_time_rows_P8F1_p28_h97	1	0	1	0	554	436	436	464	96	0	449	0	112
v006_zurich_city_02_c_0011_s2b0_time_rows_P8F1_p28_h97	1	0	1	1	560	436	436	464	96	6	397	154	112
v006_zurich_city_02_c_0011_s2b0_onehot7_P4F2_p28_h97	1	1	0	0	337	204	192	204	96	0	238	0	112
v006_zurich_city_02_c_0011_s2b0_onehot7_P4F2_p28_h97	1	1	0	1	344	204	192	204	96	7	190	151	112
v006_zurich_city_02_c_0011_s2b0_onehot7_P4F2_p28_h97	1	1	1	0	325	192	192	204	96	0	226	0	112
v006_zurich_city_02_c_0011_s2b0_onehot7_P4F2_p28_h97	1	1	1	1	333	192	192	204	96	8	182	154	112
v006_zurich_city_02_c_0011_s2b0_time_rows_P4F2_p28_h97	1	1	0	0	577	444	410	444	96	0	478	0	112
v006_zurich_city_02_c_0011_s2b0_time_rows_P4F2_p28_h97	1	1	0	1	586	444	410	444	96	9	427	153	112
v006_zurich_city_02_c_0011_s2b0_time_rows_P4F2_p28_h97	1	1	1	0	543	410	410	444	96	0	444	0	112
v006_zurich_city_02_c_0011_s2b0_time_rows_P4F2_p28_h97	1	1	1	1	552	410	410	444	96	9	393	152	112
v006_zurich_city_02_c_0011_s2b1_onehot7_P8F1_p200_h308	1	0	0	0	1709	1612	1341	1612	96	0	1599	0	112
v006_zurich_city_02_c_0011_s2b1_onehot7_P8F1_p200_h308	1	0	0	1	1709	1612	1341	1612	96	0	1541	151	112
v006_zurich_city_02_c_0011_s2b1_onehot7_P8F1_p200_h308	1	0	1	0	1438	1341	1341	1612	96	0	1329	0	112
v006_zurich_city_02_c_0011_s2b1_onehot7_P8F1_p200_h308	1	0	1	1	1440	1341	1341	1612	96	2	1271	153	112
v006_zurich_city_02_c_0011_s2b1_time_rows_P8F1_p200_h308	1	0	0	0	2024	1927	1443	1927	96	0	1911	0	112
v006_zurich_city_02_c_0011_s2b1_time_rows_P8F1_p200_h308	1	0	0	1	2024	1927	1443	1927	96	0	1847	152	112
v006_zurich_city_02_c_0011_s2b1_time_rows_P8F1_p200_h308	1	0	1	0	1540	1443	1443	1927	96	0	1431	0	112
v006_zurich_city_02_c_0011_s2b1_time_rows_P8F1_p200_h308	1	0	1	1	1540	1443	1443	1927	96	0	1385	154	112
v006_zurich_city_02_c_0011_s2b1_onehot7_P4F2_p200_h308	1	1	0	0	1695	1598	1325	1598	96	0	1592	0	112
v006_zurich_city_02_c_0011_s2b1_onehot7_P4F2_p200_h308	1	1	0	1	1695	1598	1325	1598	96	0	1519	152	112
v006_zurich_city_02_c_0011_s2b1_onehot7_P4F2_p200_h308	1	1	1	0	1422	1325	1325	1598	96	0	1319	0	112
v006_zurich_city_02_c_0011_s2b1_onehot7_P4F2_p200_h308	1	1	1	1	1422	1325	1325	1598	96	0	1262	152	112
v006_zurich_city_02_c_0011_s2b1_time_rows_P4F2_p200_h308	1	1	0	0	1999	1902	1406	1902	96	0	1896	0	112
v006_zurich_city_02_c_0011_s2b1_time_rows_P4F2_p200_h308	1	1	0	1	1999	1902	1406	1902	96	0	1820	154	112
v006_zurich_city_02_c_0011_s2b1_time_rows_P4F2_p200_h308	1	1	1	0	1503	1406	1406	1902	96	0	1400	0	112
v006_zurich_city_02_c_0011_s2b1_time_rows_P4F2_p200_h308	1	1	1	1	1504	1406	1406	1902	96	1	1350	151	112
v006_zurich_city_02_c_0011_s2b2_onehot7_P8F1_p372_h519	1	0	0	0	1803	1706	1326	1706	96	0	1683	0	112
v006_zurich_city_02_c_0011_s2b2_onehot7_P8F1_p372_h519	1	0	0	1	1805	1706	1326	1706	96	2	1633	152	112
v006_zurich_city_02_c_0011_s2b2_onehot7_P8F1_p372_h519	1	0	1	0	1423	1326	1326	1706	96	0	1306	0	112
v006_zurich_city_02_c_0011_s2b2_onehot7_P8F1_p372_h519	1	0	1	1	1424	1326	1326	1706	96	1	1251	154	112
v006_zurich_city_02_c_0011_s2b2_time_rows_P8F1_p372_h519	1	0	0	0	2575	2478	1901	2478	96	0	2442	0	112
v006_zurich_city_02_c_0011_s2b2_time_rows_P8F1_p372_h519	1	0	0	1	2576	2478	1901	2478	96	1	2382	154	112
v006_zurich_city_02_c_0011_s2b2_time_rows_P8F1_p372_h519	1	0	1	0	1998	1901	1901	2478	96	0	1871	0	112
v006_zurich_city_02_c_0011_s2b2_time_rows_P8F1_p372_h519	1	0	1	1	1998	1901	1901	2478	96	0	1820	151	112
v006_zurich_city_02_c_0011_s2b2_onehot7_P4F2_p372_h519	1	1	0	0	1876	1779	1354	1779	96	0	1757	0	112
v006_zurich_city_02_c_0011_s2b2_onehot7_P4F2_p372_h519	1	1	0	1	1876	1779	1354	1779	96	0	1692	154	112
v006_zurich_city_02_c_0011_s2b2_onehot7_P4F2_p372_h519	1	1	1	0	1451	1354	1354	1779	96	0	1334	0	112
v006_zurich_city_02_c_0011_s2b2_onehot7_P4F2_p372_h519	1	1	1	1	1452	1354	1354	1779	96	1	1292	153	112
v006_zurich_city_02_c_0011_s2b2_time_rows_P4F2_p372_h519	1	1	0	0	2665	2568	1926	2568	96	0	2528	0	112
v006_zurich_city_02_c_0011_s2b2_time_rows_P4F2_p372_h519	1	1	0	1	2665	2568	1926	2568	96	0	2475	152	112
v006_zurich_city_02_c_0011_s2b2_time_rows_P4F2_p372_h519	1	1	1	0	2023	1926	1926	2568	96	0	1892	0	112
v006_zurich_city_02_c_0011_s2b2_time_rows_P4F2_p372_h519	1	1	1	1	2023	1926	1926	2568	96	0	1840	154	112
v006_zurich_city_02_c_0011_s2b3_onehot7_P8F1_p548_h730	1	0	0	0	2303	2206	1661	2206	96	0	2186	0	112
v006_zurich_city_02_c_0011_s2b3_onehot7_P8F1_p548_h730	1	0	0	1	2303	2206	1661	2206	96	0	2123	154	112
v006_zurich_city_02_c_0011_s2b3_onehot7_P8F1_p548_h730	1	0	1	0	1758	1661	1661	2206	96	0	1644	0	112
v006_zurich_city_02_c_0011_s2b3_onehot7_P8F1_p548_h730	1	0	1	1	1759	1661	1661	2206	96	1	1585	150	112
v006_zurich_city_02_c_0011_s2b3_time_rows_P8F1_p548_h730	1	0	0	0	2916	2819	1890	2819	96	0	2789	0	112
v006_zurich_city_02_c_0011_s2b3_time_rows_P8F1_p548_h730	1	0	0	1	2916	2819	1890	2819	96	0	2731	154	112
v006_zurich_city_02_c_0011_s2b3_time_rows_P8F1_p548_h730	1	0	1	0	1987	1890	1890	2819	96	0	1869	0	112
v006_zurich_city_02_c_0011_s2b3_time_rows_P8F1_p548_h730	1	0	1	1	1987	1890	1890	2819	96	0	1814	153	112
v006_zurich_city_02_c_0011_s2b3_onehot7_P4F2_p548_h730	1	1	0	0	2149	2052	1465	2052	96	0	2038	0	112
v006_zurich_city_02_c_0011_s2b3_onehot7_P4F2_p548_h730	1	1	0	1	2149	2052	1465	2052	96	0	2000	153	112
v006_zurich_city_02_c_0011_s2b3_onehot7_P4F2_p548_h730	1	1	1	0	1562	1465	1465	2052	96	0	1455	0	112
v006_zurich_city_02_c_0011_s2b3_onehot7_P4F2_p548_h730	1	1	1	1	1563	1465	1465	2052	96	1	1397	153	112
v006_zurich_city_02_c_0011_s2b3_time_rows_P4F2_p548_h730	1	1	0	0	2509	2412	1637	2412	96	0	2398	0	112
v006_zurich_city_02_c_0011_s2b3_time_rows_P4F2_p548_h730	1	1	0	1	2509	2412	1637	2412	96	0	2335	152	112
v006_zurich_city_02_c_0011_s2b3_time_rows_P4F2_p548_h730	1	1	1	0	1734	1637	1637	2412	96	0	1627	0	112
v006_zurich_city_02_c_0011_s2b3_time_rows_P4F2_p548_h730	1	1	1	1	1735	1637	1637	2412	96	1	1558	151	112
v006_zurich_city_02_c_0011_s2b4_onehot7_P8F1_p720_h941	1	0	0	0	1693	1596	1299	1596	96	0	1581	0	112
v006_zurich_city_02_c_0011_s2b4_onehot7_P8F1_p720_h941	1	0	0	1	1693	1596	1299	1596	96	0	1519	154	112
v006_zurich_city_02_c_0011_s2b4_onehot7_P8F1_p720_h941	1	0	1	0	1396	1299	1299	1596	96	0	1284	0	112
v006_zurich_city_02_c_0011_s2b4_onehot7_P8F1_p720_h941	1	0	1	1	1396	1299	1299	1596	96	0	1233	154	112
v006_zurich_city_02_c_0011_s2b4_time_rows_P8F1_p720_h941	1	0	0	0	2611	2514	1860	2514	96	0	2491	0	112
v006_zurich_city_02_c_0011_s2b4_time_rows_P8F1_p720_h941	1	0	0	1	2611	2514	1860	2514	96	0	2445	154	112
v006_zurich_city_02_c_0011_s2b4_time_rows_P8F1_p720_h941	1	0	1	0	1957	1860	1860	2514	96	0	1837	0	112
v006_zurich_city_02_c_0011_s2b4_time_rows_P8F1_p720_h941	1	0	1	1	1958	1860	1860	2514	96	1	1790	154	112
v006_zurich_city_02_c_0011_s2b4_onehot7_P4F2_p720_h941	1	1	0	0	1547	1450	1188	1450	96	0	1430	0	112
