case	real	time	intersection	reduce	stress	cycles_through_done_handshake	last_gate	source_reads	w_reads	w_zero	packets	events	commits	source_req_wait	w_req_wait	w_response_wait	output_wait	barrier_wait	psn_issues	nr_peak	w_pending_peak	w_accept_peak	source_accept_peak	first_tile0	first_tile1	w_metadata_reads	w_value_reads	compare_active_PE_beats	weight_pointer_advances_without_value	nrv_skips	nnz_tile0	nnz_tile1	image_bytes_tile0	image_bytes_tile1	frontend_load_beats	configuration_beats
v000_zurich_city_09_a_0001_s2b3_p408_h633_1366_packed_class	1	0	1	1	0	7285	7278	288	9026	0	740	9045	6485	0	0	0	0	0	2656	2	4	4	4	0	0	6080	2946	10763	86	40	377	381	1133	1145	0	103
v000_zurich_city_09_a_0001_s2b3_p408_h633_1366_packed_class	1	0	1	1	1	22473	22466	288	9026	0	740	9045	6485	41	3005	0	37	8	2656	1	4	4	4	0	1	6080	2946	17739	86	40	377	381	1133	1145	0	103
v000_zurich_city_09_a_0001_s2b3_p408_h633_1366_packed_class	1	0	2	0	0	2854	2847	288	3042	0	740	9045	6485	0	0	0	0	0	2656	2	4	4	4	0	0	96	2946	0	0	40	377	381	425	429	72	103
v000_zurich_city_09_a_0001_s2b3_p408_h633_1366_packed_class	1	0	2	0	1	7824	7817	288	3042	0	740	9045	6485	27	971	0	12	7	2656	2	4	4	4	0	1	96	2946	0	0	40	377	381	425	429	235	103
v000_zurich_city_09_a_0001_s2b3_p408_h633_1366_packed_class	1	0	2	1	0	2854	2847	288	3042	0	740	9045	6485	0	0	0	0	0	2656	2	4	4	4	0	0	96	2946	0	0	40	377	381	425	429	72	103
v000_zurich_city_09_a_0001_s2b3_p408_h633_1366_packed_class	1	0	2	1	1	7824	7817	288	3042	0	740	9045	6485	27	971	0	15	7	2656	2	4	4	4	0	1	96	2946	0	0	40	377	381	425	429	235	103
v000_zurich_city_09_a_0001_s2b3_p408_h633_1366_packed_class	1	0	3	0	0	2785	2778	288	2990	40	740	9045	6485	0	0	0	0	0	2656	2	4	4	4	0	0	4	2986	0	0	0	377	381	386	386	3	103
v000_zurich_city_09_a_0001_s2b3_p408_h633_1366_packed_class	1	0	3	0	1	7729	7722	288	2990	40	740	9045	6485	23	977	0	25	7	2656	2	4	3	4	0	1	4	2986	0	0	0	377	381	386	386	11	103
v000_zurich_city_09_a_0001_s2b3_p408_h633_1366_packed_class	1	0	3	1	0	2785	2778	288	2990	40	740	9045	6485	0	0	0	0	0	2656	2	4	4	4	0	0	4	2986	0	0	0	377	381	386	386	3	103
v000_zurich_city_09_a_0001_s2b3_p408_h633_1366_packed_class	1	0	3	1	1	7729	7722	288	2990	40	740	9045	6485	23	977	0	25	7	2656	2	4	3	4	0	1	4	2986	0	0	0	377	381	386	386	11	103
v000_zurich_city_09_a_0001_s2b3_p408_h633_1366_packed_time	1	1	0	0	0	2757	2750	288	2986	40	740	11338	7373	0	0	0	0	0	2400	2	4	4	4	0	0	0	2986	0	0	0	377	381	384	384	0	95
