case	real	time	intersection	reduce	stress	cycles_through_done_handshake	last_gate	source_reads	w_reads	w_zero	packets	events	commits	source_req_wait	w_req_wait	w_response_wait	output_wait	barrier_wait	psn_issues	nr_peak	w_pending_peak	w_accept_peak	source_accept_peak	first_tile0	first_tile1	w_metadata_reads	w_value_reads	compare_active_PE_beats	weight_pointer_advances_without_value	nrv_skips	nnz_tile0	nnz_tile1	image_bytes_tile0	image_bytes_tile1	frontend_load_beats	configuration_beats	rank_catchup_pe_beats
v000_zurich_city_09_a_0001_s2b3_p408_h633_1366_packed_time	1	1	3	1	0	2749	2742	288	2990	40	740	11338	7373	0	0	0	0	0	2400	2	4	4	4	0	0	4	2986	0	0	0	377	381	386	386	3	95	0
v000_zurich_city_09_a_0001_s2b3_p408_h633_1366_packed_time	1	1	3	1	1	7748	7741	288	2990	40	740	11338	7373	43	959	0	27	5	2400	2	4	3	4	1	0	4	2986	0	0	0	377	381	386	386	12	95	0
v000_zurich_city_09_a_0001_s2b3_p408_h633_1366_packed_time	1	1	4	0	0	2760	2753	288	2990	40	740	11338	7373	0	0	0	0	0	2400	2	4	4	4	0	0	4	2986	0	0	0	377	381	386	386	3	95	0
v000_zurich_city_09_a_0001_s2b3_p408_h633_1366_packed_time	1	1	4	0	1	7748	7741	288	2990	40	740	11338	7373	43	953	0	24	5	2400	2	4	4	4	1	0	4	2986	0	0	0	377	381	386	386	9	95	0
v000_zurich_city_09_a_0001_s2b3_p408_h633_1366_packed_time	1	1	4	1	0	2752	2745	288	2990	40	740	11338	7373	0	0	0	0	0	2400	2	4	4	4	0	0	4	2986	0	0	0	377	381	386	386	3	95	0
v000_zurich_city_09_a_0001_s2b3_p408_h633_1366_packed_time	1	1	4	1	1	7748	7741	288	2990	40	740	11338	7373	43	953	0	27	5	2400	2	4	4	4	1	0	4	2986	0	0	0	377	381	386	386	9	95	0
v000_zurich_city_09_a_0001_s2b4_p548_h844_41_packed_class	1	0	3	0	0	2751	2744	288	2872	43	709	7206	5765	0	0	0	0	6	2560	2	4	4	4	2	2	4	2868	0	0	0	381	376	386	386	3	100	0
v000_zurich_city_09_a_0001_s2b4_p548_h844_41_packed_class	1	0	3	0	1	7520	7513	288	2872	43	709	7206	5765	41	913	0	66	8	2560	2	4	4	4	0	4	4	2868	0	0	0	381	376	386	386	11	100	0
v000_zurich_city_09_a_0001_s2b4_p548_h844_41_packed_class	1	0	3	1	0	2750	2743	288	2872	43	709	7206	5765	0	0	0	0	7	2560	2	4	4	4	1	3	4	2868	0	0	0	381	376	386	386	3	100	0
v000_zurich_city_09_a_0001_s2b4_p548_h844_41_packed_class	1	0	3	1	1	7520	7513	288	2872	43	709	7206	5765	41	913	0	67	12	2560	2	4	4	4	1	3	4	2868	0	0	0	381	376	386	386	11	100	0
