case,real,order,mode,bp,packed32,prefetch,frontier,resident,active_pf,cycles,channels,batches,pairs,scalar_mac,words,xwords,graph_words,prefetch_words,cache_hits,refetches,peak_slots,graph_hits,req_stall,out_stall,state0,state1,state2,state3,state4,state5,state6,state7,state8,state9,state10,state11,state12,state13
train0_p4,1,1,2,0,1,1,1,0,0,1003,62,46,401,4010,242,124,97,76,0,12,3,301,0,0,1,21,21,6,114,0,144,46,460,138,46,0,6,1
train0_p4,1,1,2,0,1,1,1,0,1,996,62,46,401,4010,255,124,110,99,0,12,3,335,0,0,1,21,21,6,107,0,144,46,460,138,46,0,6,1
train0_p4,1,1,2,0,1,1,1,1,0,993,62,46,401,4010,218,100,97,76,12,0,4,301,0,0,1,21,21,6,114,0,134,46,460,138,46,0,6,1
train0_p4,1,1,2,0,1,1,1,1,1,986,62,46,401,4010,231,100,110,99,12,0,4,335,0,0,1,21,21,6,107,0,134,46,460,138,46,0,6,1
train0_p4,1,1,2,1,1,1,0,1,0,1294,50,50,500,5000,224,100,103,96,0,0,4,340,80,4,1,30,57,6,126,0,314,50,500,150,50,0,10,1
train0_p4,1,1,2,1,1,1,0,1,1,1294,50,50,500,5000,224,100,103,96,0,0,4,340,80,4,1,30,57,6,126,0,314,50,500,150,50,0,10,1
train0_p4,1,1,2,1,1,1,1,0,0,1280,62,46,401,4010,242,124,97,76,0,12,3,301,95,2,1,30,57,6,160,0,328,46,460,138,46,0,8,1
train0_p4,1,1,2,1,1,1,1,0,1,1237,62,46,401,4010,255,124,110,99,0,12,3,335,89,0,1,30,57,6,133,0,314,46,460,138,46,0,6,1
train0_p4,1,1,2,1,1,1,1,1,0,1254,62,46,401,4010,218,100,97,76,12,0,4,301,74,2,1,30,57,6,173,0,289,46,460,138,46,0,8,1
train0_p4,1,1,2,1,1,1,1,1,1,1226,62,46,401,4010,231,100,110,99,12,0,4,335,70,2,1,30,57,6,138,0,296,46,460,138,46,0,8,1
train0_p4,1,1,3,0,1,1,0,1,0,1065,50,50,500,5000,218,100,97,91,0,0,4,341,0,0,1,21,21,6,110,0,150,50,500,150,50,0,6,1
train0_p4,1,1,3,0,1,1,0,1,1,1065,50,50,500,5000,218,100,97,91,0,0,4,341,0,0,1,21,21,6,110,0,150,50,500,150,50,0,6,1
train0_p4,1,1,3,0,1,1,1,1,0,992,62,46,401,4010,211,100,90,71,12,0,4,302,0,0,1,21,21,6,113,0,134,46,460,138,46,0,6,1
train0_p4,1,1,3,0,1,1,1,1,1,985,62,46,401,4010,222,100,101,92,12,0,4,335,0,0,1,21,21,6,106,0,134,46,460,138,46,0,6,1
train0_p4,1,1,3,1,1,1,0,1,0,1291,50,50,500,5000,218,100,97,91,0,0,4,341,75,5,1,27,54,6,124,0,318,50,500,150,50,0,11,1
train0_p4,1,1,3,1,1,1,0,1,1,1291,50,50,500,5000,218,100,97,91,0,0,4,341,75,5,1,27,54,6,124,0,318,50,500,150,50,0,11,1
train0_p4,1,1,3,1,1,1,1,1,0,1220,62,46,401,4010,211,100,90,71,12,0,4,302,66,4,1,27,54,6,145,0,287,46,460,138,46,0,10,1
train0_p4,1,1,3,1,1,1,1,1,1,1197,62,46,401,4010,222,100,101,92,12,0,4,335,72,6,1,27,54,6,119,0,288,46,460,138,46,0,12,1
train0_p5,1,1,1,0,1,1,0,1,0,1297,64,64,640,6400,158,128,0,116,0,0,4,0,0,0,1,30,30,6,0,70,134,64,640,192,64,60,6,1
train0_p5,1,1,1,0,1,1,0,1,1,1297,64,64,640,6400,158,128,0,116,0,0,4,0,0,0,1,30,30,6,0,70,134,64,640,192,64,60,6,1
train0_p5,1,1,1,1,1,1,0,1,0,1379,64,64,640,6400,158,128,0,116,0,0,4,0,86,3,1,39,77,6,0,70,157,64,640,192,64,60,9,1
train0_p5,1,1,1,1,1,1,0,1,1,1379,64,64,640,6400,158,128,0,116,0,0,4,0,86,3,1,39,77,6,0,70,157,64,640,192,64,60,9,1
train0_p5,1,1,2,0,1,1,0,1,0,1027,48,48,480,4800,221,96,104,96,0,0,4,341,0,0,1,21,21,6,108,0,144,48,480,144,48,0,6,1
train0_p5,1,1,2,0,1,1,0,1,1,1027,48,48,480,4800,221,96,104,96,0,0,4,341,0,0,1,21,21,6,108,0,144,48,480,144,48,0,6,1
train0_p5,1,1,2,0,1,1,1,0,0,1001,58,46,403,4030,238,116,101,86,0,10,2,328,0,0,1,21,21,6,112,0,144,46,460,138,46,0,6,1
train0_p5,1,1,2,0,1,1,1,0,1,998,58,46,403,4030,246,116,109,98,0,10,2,332,0,0,1,21,21,6,109,0,144,46,460,138,46,0,6,1
train0_p5,1,1,2,0,1,1,1,1,0,989,58,46,403,4030,218,96,101,86,10,0,4,328,0,0,1,21,21,6,112,0,132,46,460,138,46,0,6,1
train0_p5,1,1,2,0,1,1,1,1,1,986,58,46,403,4030,226,96,109,98,10,0,4,332,0,0,1,21,21,6,109,0,132,46,460,138,46,0,6,1
train0_p5,1,1,2,1,1,1,0,1,0,1247,48,48,480,4800,221,96,104,96,0,0,4,341,61,4,1,30,57,6,124,0,299,48,480,144,48,0,10,1
train0_p5,1,1,2,1,1,1,0,1,1,1247,48,48,480,4800,221,96,104,96,0,0,4,341,61,4,1,30,57,6,124,0,299,48,480,144,48,0,10,1
train0_p5,1,1,2,1,1,1,1,0,0,1251,58,46,403,4030,238,116,101,86,0,10,2,328,80,1,1,30,57,6,149,0,311,46,460,138,46,0,7,1
train0_p5,1,1,2,1,1,1,1,0,1,1247,58,46,403,4030,246,116,109,98,0,10,2,332,79,0,1,30,57,6,144,0,313,46,460,138,46,0,6,1
train0_p5,1,1,2,1,1,1,1,1,0,1232,58,46,403,4030,218,96,101,86,10,0,4,328,77,2,1,30,57,6,153,0,287,46,460,138,46,0,8,1
train0_p5,1,1,2,1,1,1,1,1,1,1229,58,46,403,4030,226,96,109,98,10,0,4,332,75,6,1,30,57,6,137,0,296,46,460,138,46,0,12,1
train0_p5,1,1,3,0,1,1,0,1,0,1027,48,48,480,4800,216,96,99,91,0,0,4,341,0,0,1,21,21,6,108,0,144,48,480,144,48,0,6,1
train0_p5,1,1,3,0,1,1,0,1,1,1027,48,48,480,4800,216,96,99,91,0,0,4,341,0,0,1,21,21,6,108,0,144,48,480,144,48,0,6,1
train0_p5,1,1,3,0,1,1,1,1,0,989,58,46,403,4030,214,96,97,82,10,0,4,328,0,0,1,21,21,6,112,0,132,46,460,138,46,0,6,1
train0_p5,1,1,3,0,1,1,1,1,1,986,58,46,403,4030,222,96,105,93,10,0,4,331,0,0,1,21,21,6,109,0,132,46,460,138,46,0,6,1
train0_p5,1,1,3,1,1,1,0,1,0,1239,48,48,480,4800,216,96,99,91,0,0,4,341,63,0,1,27,54,6,123,0,302,48,480,144,48,0,6,1
train0_p5,1,1,3,1,1,1,0,1,1,1239,48,48,480,4800,216,96,99,91,0,0,4,341,63,0,1,27,54,6,123,0,302,48,480,144,48,0,6,1
train0_p5,1,1,3,1,1,1,1,1,0,1232,58,46,403,4030,214,96,97,82,10,0,4,328,87,3,1,27,54,6,146,0,299,46,460,138,46,0,9,1
train0_p5,1,1,3,1,1,1,1,1,1,1220,58,46,403,4030,222,96,105,93,10,0,4,331,85,1,1,27,54,6,139,0,296,46,460,138,46,0,7,1
train0_p6,1,1,1,0,1,1,0,1,0,1297,64,64,640,6400,158,128,0,116,0,0,4,0,0,0,1,30,30,6,0,70,134,64,640,192,64,60,6,1
train0_p6,1,1,1,0,1,1,0,1,1,1297,64,64,640,6400,158,128,0,116,0,0,4,0,0,0,1,30,30,6,0,70,134,64,640,192,64,60,6,1
train0_p6,1,1,1,1,1,1,0,1,0,1379,64,64,640,6400,158,128,0,116,0,0,4,0,86,3,1,39,77,6,0,70,157,64,640,192,64,60,9,1
train0_p6,1,1,1,1,1,1,0,1,1,1379,64,64,640,6400,158,128,0,116,0,0,4,0,86,3,1,39,77,6,0,70,157,64,640,192,64,60,9,1
train0_p6,1,1,2,0,1,1,0,1,0,1026,48,48,480,4800,213,96,96,88,0,0,4,345,0,0,1,21,21,6,107,0,144,48,480,144,48,0,6,1
train0_p6,1,1,2,0,1,1,0,1,1,1026,48,48,480,4800,213,96,96,88,0,0,4,345,0,0,1,21,21,6,107,0,144,48,480,144,48,0,6,1
train0_p6,1,1,2,0,1,1,1,0,0,977,53,45,411,4110,222,106,95,81,0,5,2,333,0,0,1,21,21,6,108,0,139,45,450,135,45,0,6,1
train0_p6,1,1,2,0,1,1,1,0,1,974,53,45,411,4110,224,106,97,88,0,5,2,340,0,0,1,21,21,6,105,0,139,45,450,135,45,0,6,1
train0_p6,1,1,2,0,1,1,1,1,0,971,53,45,411,4110,212,96,95,81,5,0,4,333,0,0,1,21,21,6,108,0,133,45,450,135,45,0,6,1
train0_p6,1,1,2,0,1,1,1,1,1,968,53,45,411,4110,214,96,97,88,5,0,4,340,0,0,1,21,21,6,105,0,133,45,450,135,45,0,6,1
train0_p6,1,1,2,1,1,1,0,1,0,1247,48,48,480,4800,213,96,96,88,0,0,4,345,61,4,1,30,57,6,122,0,301,48,480,144,48,0,10,1
train0_p6,1,1,2,1,1,1,0,1,1,1247,48,48,480,4800,213,96,96,88,0,0,4,345,61,4,1,30,57,6,122,0,301,48,480,144,48,0,10,1
train0_p6,1,1,2,1,1,1,1,0,0,1225,53,45,411,4110,222,106,95,81,0,5,2,333,78,2,1,30,57,6,141,0,307,45,450,135,45,0,8,1
train0_p6,1,1,2,1,1,1,1,0,1,1219,53,45,411,4110,224,106,97,88,0,5,2,340,77,2,1,30,57,6,124,0,318,45,450,135,45,0,8,1
