case,real,order,mode,bp,packed32,prefetch,frontier,resident,active_pf,cycles,channels,batches,pairs,scalar_mac,words,xwords,graph_words,prefetch_words,cache_hits,refetches,peak_slots,graph_hits,req_stall,out_stall,state0,state1,state2,state3,state4,state5,state6,state7,state8,state9,state10,state11,state12,state13
train0_p2,1,1,3,0,1,1,1,1,1,964,56,45,399,3990,214,96,97,90,8,0,4,332,0,0,1,21,21,6,103,0,131,45,450,135,45,0,6,1
train0_p2,1,1,3,1,1,1,0,0,0,1239,48,48,480,4800,211,96,94,88,0,0,1,339,65,2,1,27,54,6,113,0,310,48,480,144,48,0,8,1
train0_p2,1,1,3,1,1,1,0,0,1,1239,48,48,480,4800,211,96,94,88,0,0,1,339,65,2,1,27,54,6,113,0,310,48,480,144,48,0,8,1
train0_p2,1,1,3,1,1,1,0,1,0,1239,48,48,480,4800,211,96,94,88,0,0,4,339,65,2,1,27,54,6,113,0,310,48,480,144,48,0,8,1
train0_p2,1,1,3,1,1,1,0,1,1,1239,48,48,480,4800,211,96,94,88,0,0,4,339,65,2,1,27,54,6,113,0,310,48,480,144,48,0,8,1
train0_p2,1,1,3,1,1,1,1,0,0,1214,56,45,399,3990,224,112,91,78,0,8,2,321,86,3,1,27,54,6,130,0,312,45,450,135,45,0,9,1
train0_p2,1,1,3,1,1,1,1,0,1,1203,56,45,399,3990,230,112,97,90,0,8,2,332,78,5,1,27,54,6,116,0,313,45,450,135,45,0,11,1
train0_p2,1,1,3,1,1,1,1,1,0,1192,56,45,399,3990,208,96,91,78,8,0,4,321,59,0,1,27,54,6,133,0,290,45,450,135,45,0,6,1
train0_p2,1,1,3,1,1,1,1,1,1,1175,56,45,399,3990,214,96,97,90,8,0,4,332,64,2,1,27,54,6,119,0,285,45,450,135,45,0,8,1
train0_p3,1,1,1,0,1,1,0,0,0,1297,64,64,640,6400,158,128,0,116,0,0,1,0,0,0,1,30,30,6,0,70,134,64,640,192,64,60,6,1
train0_p3,1,1,1,0,1,1,0,0,1,1297,64,64,640,6400,158,128,0,116,0,0,1,0,0,0,1,30,30,6,0,70,134,64,640,192,64,60,6,1
train0_p3,1,1,1,0,1,1,0,1,0,1297,64,64,640,6400,158,128,0,116,0,0,4,0,0,0,1,30,30,6,0,70,134,64,640,192,64,60,6,1
