axis,mode,population,file,valid_pixels,AEE,NB0_AEE,delta_NB0
ordinary,R24_onepass,valid825,zurich_city_02_c_0151.npy,39205,1.0839618160119386,1.5091151479,-0.42515333188806137
ordinary,R24_onepass,valid825,zurich_city_02_c_0161.npy,48966,1.0975702928216473,1.4188397306,-0.3212694377783527
ordinary,R24_onepass,valid825,zurich_city_02_c_0171.npy,45469,0.7844026851699477,1.2528434552,-0.46844077003005236
ordinary,R24_onepass,valid825,zurich_city_02_c_0181.npy,47438,1.0396295835949807,1.2472235141,-0.2075939305050194
ordinary,R24_onepass,valid825,zurich_city_02_c_0191.npy,46430,0.8941134301671836,1.252119454,-0.35800602383281643
ordinary,R24_onepass,valid825,zurich_city_02_c_0201.npy,43965,1.0198538788156766,1.2964085423,-0.27655466348432345
ordinary,R24_onepass,valid825,zurich_city_02_c_0211.npy,41554,1.254449718093874,1.2555943772,-0.0011446591061259337
ordinary,R24_onepass,valid825,zurich_city_02_c_0221.npy,34371,1.1132746463311927,1.3106012563,-0.19732660996880735
ordinary,R24_onepass,valid825,zurich_city_02_c_0231.npy,36588,1.197121390443715,1.4692667336,-0.272145343156285
ordinary,R24_onepass,valid825,zurich_city_02_c_0241.npy,45138,0.8917402385259282,1.0551656344,-0.1634253958740718
ordinary,R24_onepass,valid825,zurich_city_02_c_0251.npy,48172,1.713979623278426,2.2444087073,-0.530429084021574
ordinary,R24_onepass,valid825,zurich_city_02_c_0261.npy,44087,1.330859647604735,1.5813395247,-0.250479877095265
ordinary,R24_onepass,valid825,zurich_city_02_c_0271.npy,46287,1.1941443569711985,1.3065885974,-0.11244424042880152
ordinary,R24_onepass,valid825,zurich_city_02_c_0281.npy,49250,1.121685825766589,1.3710544099,-0.249368584133411
ordinary,R24_onepass,valid825,zurich_city_02_c_0291.npy,49033,1.3153022661810956,1.4344790753,-0.11917680911890449
ordinary,R24_onepass,valid825,zurich_city_02_c_0301.npy,50878,1.3030603692705371,1.6566458612,-0.35358549192946276
ordinary,R24_onepass,valid825,zurich_city_02_c_0311.npy,42685,1.8393270033644813,2.168231668,-0.3289046646355185
ordinary,R24_onepass,valid825,zurich_city_02_c_0321.npy,46358,0.9333724410138051,1.2451392222,-0.31176678118619483
ordinary,R24_onepass,valid825,zurich_city_02_c_0331.npy,35616,1.5841146984125383,1.572186548,0.011928150412538363
ordinary,R24_onepass,valid825,zurich_city_02_c_0341.npy,31199,1.7650091699868584,2.1648052121,-0.3997960421131417
ordinary,R24_onepass,valid825,zurich_city_02_c_0351.npy,34169,1.3672536928104948,1.4568115242,-0.08955783138950513
ordinary,R24_onepass,valid825,zurich_city_02_c_0361.npy,40104,1.1593151808928588,1.3883789842,-0.22906380330714127
ordinary,R24_onepass,valid825,zurich_city_02_c_0371.npy,37165,1.5299914575512432,1.7017340324,-0.17174257484875688
ordinary,R24_onepass,valid825,zurich_city_02_c_0381.npy,35735,1.4706229474110828,2.0527581503,-0.5821352028889171
ordinary,R24_onepass,valid825,zurich_city_02_c_0391.npy,34854,1.3807904856867808,1.5564766598,-0.17568617411321918
ordinary,R24_onepass,valid825,zurich_city_02_c_0401.npy,36571,2.009543636970173,2.6454909628,-0.6359473258298269
ordinary,R24_onepass,valid825,zurich_city_02_c_0411.npy,34206,2.6063147329711494,2.0531508544,0.5531638785711492
ordinary,R24_onepass,valid825,zurich_city_02_c_0421.npy,36070,1.18892842847495,1.4280216853,-0.23909325682505012
ordinary,R24_onepass,valid825,zurich_city_02_c_0431.npy,33634,1.293264130049445,1.5316285,-0.2383643699505551
ordinary,R24_onepass,valid825,zurich_city_02_c_0441.npy,35940,1.274508621656673,1.7293143738,-0.4548057521433271
ordinary,R24_onepass,valid825,zurich_city_02_c_0451.npy,37323,1.837118690390639,2.3947243489,-0.5576056585093612
ordinary,R24_onepass,valid825,zurich_city_02_c_0461.npy,37407,1.8222618607155823,2.3043138651,-0.48205200438441786
ordinary,R24_onepass,valid825,zurich_city_02_c_0471.npy,35312,2.017197577824906,2.3034675712,-0.28626999337509407
ordinary,R24_onepass,valid825,zurich_city_02_c_0481.npy,29895,2.4054552685800545,2.9491775903,-0.5437223217199456
ordinary,R24_onepass,valid825,zurich_city_02_c_0491.npy,26349,2.173552973845387,2.7475016841,-0.573948710254613
ordinary,R24_onepass,valid825,zurich_city_02_c_0501.npy,29122,1.7684681029529739,2.6508202562,-0.882352153247026
ordinary,R24_onepass,valid825,zurich_city_02_c_0511.npy,34144,1.8557773279242589,2.929102432,-1.0733251040757412
ordinary,R24_onepass,valid825,zurich_city_02_c_0521.npy,35955,2.0138778994951285,2.744040728,-0.7301628285048714
ordinary,R24_onepass,valid825,zurich_city_02_c_0531.npy,31949,1.7088596700895642,2.5248298558,-0.815970185710436
ordinary,R24_onepass,valid825,zurich_city_02_c_0541.npy,45480,1.933857488578515,2.4593947546,-0.525537266021485
ordinary,R24_onepass,valid825,zurich_city_02_c_0551.npy,40649,2.401243875426889,3.1720608517,-0.7708169762731107
ordinary,R24_onepass,valid825,zurich_city_02_c_0561.npy,33408,3.127591664185752,3.4358417613,-0.3082500971142479
ordinary,R24_onepass,valid825,zurich_city_02_c_0571.npy,31003,2.39707538300926,3.6419421608,-1.2448667777907403
ordinary,R24_onepass,valid825,zurich_city_02_c_0581.npy,34574,2.035225566280259,2.6738284639,-0.6386028976197409
ordinary,R24_onepass,valid825,zurich_city_02_c_0591.npy,32823,2.083794226677777,2.8699973151,-0.7862030884222229
ordinary,R24_onepass,valid825,zurich_city_02_c_0601.npy,33308,1.7176974320473173,2.339579643,-0.6218822109526827
ordinary,R24_onepass,valid825,zurich_city_02_c_0611.npy,34977,1.7511009519851481,2.548864477,-0.7977635250148518
