case	real	time	intersection	reduce	stress	cycles_through_done_handshake	last_gate	source_reads	w_reads	w_zero	packets	events	commits	source_req_wait	w_req_wait	w_response_wait	output_wait	barrier_wait	psn_issues	nr_peak	w_pending_peak	w_accept_peak	source_accept_peak	first_tile0	first_tile1	w_metadata_reads	w_value_reads	compare_active_PE_beats	weight_pointer_advances_without_value	nrv_skips	nnz_tile0	nnz_tile1	image_bytes_tile0	image_bytes_tile1
v000_zurich_city_09_a_0001_s2b3_p408_h633_1366_packed_class	1	0	0	0	0	2785	2778	288	2986	40	740	9045	6485	0	0	0	0	0	2656	2	4	4	4	0	0	0	2986	0	0	0	377	381	384	384
v000_zurich_city_09_a_0001_s2b3_p408_h633_1366_packed_class	1	0	0	0	1	7742	7735	288	2986	40	740	9045	6485	42	994	0	28	10	2656	2	4	3	4	0	1	0	2986	0	0	0	377	381	384	384
v000_zurich_city_09_a_0001_s2b3_p408_h633_1366_packed_class	1	0	0	1	0	2785	2778	288	2986	40	740	9045	6485	0	0	0	0	0	2656	2	4	4	4	0	0	0	2986	0	0	0	377	381	384	384
v000_zurich_city_09_a_0001_s2b3_p408_h633_1366_packed_class	1	0	0	1	1	7776	7769	288	2986	40	740	9045	6485	28	1032	0	26	3	2656	2	4	3	4	1	0	0	2986	0	0	0	377	381	384	384
v000_zurich_city_09_a_0001_s2b3_p408_h633_1366_packed_class	1	0	1	0	0	7285	7278	288	9026	0	740	9045	6485	0	0	0	0	0	2656	2	4	4	4	0	0	6080	2946	10763	86	40	377	381	1133	1145
v000_zurich_city_09_a_0001_s2b3_p408_h633_1366_packed_class	1	0	1	0	1	22715	22708	288	9026	0	740	9045	6485	39	2983	0	30	10	2656	1	4	4	4	1	0	6080	2946	17869	86	40	377	381	1133	1145
v000_zurich_city_09_a_0001_s2b3_p408_h633_1366_packed_class	1	0	1	1	0	7285	7278	288	9026	0	740	9045	6485	0	0	0	0	0	2656	2	4	4	4	0	0	6080	2946	10763	86	40	377	381	1133	1145
v000_zurich_city_09_a_0001_s2b3_p408_h633_1366_packed_class	1	0	1	1	1	22449	22442	288	9026	0	740	9045	6485	37	2938	0	33	8	2656	1	4	4	3	0	1	6080	2946	17526	86	40	377	381	1133	1145
v000_zurich_city_09_a_0001_s2b3_p408_h633_1366_packed_time	1	1	0	0	0	2757	2750	288	2986	40	740	11338	7373	0	0	0	0	0	2400	2	4	4	4	0	0	0	2986	0	0	0	377	381	384	384
v000_zurich_city_09_a_0001_s2b3_p408_h633_1366_packed_time	1	1	0	0	1	7729	7722	288	2986	40	740	11338	7373	42	968	0	32	9	2400	2	4	3	3	0	1	0	2986	0	0	0	377	381	384	384
v000_zurich_city_09_a_0001_s2b3_p408_h633_1366_packed_time	1	1	0	1	0	2749	2742	288	2986	40	740	11338	7373	0	0	0	0	0	2400	2	4	4	4	0	0	0	2986	0	0	0	377	381	384	384
v000_zurich_city_09_a_0001_s2b3_p408_h633_1366_packed_time	1	1	0	1	1	7722	7715	288	2986	40	740	11338	7373	28	1001	0	27	8	2400	2	4	3	4	1	0	0	2986	0	0	0	377	381	384	384
v000_zurich_city_09_a_0001_s2b3_p408_h633_1366_packed_time	1	1	1	0	0	7249	7242	288	9026	0	740	11338	7373	0	0	0	0	0	2400	2	4	4	4	0	0	6080	2946	10763	86	40	377	381	1133	1145
v000_zurich_city_09_a_0001_s2b3_p408_h633_1366_packed_time	1	1	1	0	1	22653	22646	288	9026	0	740	11338	7373	41	2973	0	22	13	2400	1	4	4	2	1	0	6080	2946	17827	86	40	377	381	1133	1145
v000_zurich_city_09_a_0001_s2b3_p408_h633_1366_packed_time	1	1	1	1	0	7249	7242	288	9026	0	740	11338	7373	0	0	0	0	0	2400	2	4	4	4	0	0	6080	2946	10763	86	40	377	381	1133	1145
v000_zurich_city_09_a_0001_s2b3_p408_h633_1366_packed_time	1	1	1	1	1	22443	22436	288	9026	0	740	11338	7373	54	2919	0	37	10	2400	1	4	4	4	0	1	6080	2946	17773	86	40	377	381	1133	1145
v000_zurich_city_09_a_0001_s2b4_p548_h844_41_packed_class	1	0	0	0	0	2751	2744	288	2868	43	709	7206	5765	0	0	0	0	6	2560	2	4	4	4	2	2	0	2868	0	0	0	381	376	384	384
v000_zurich_city_09_a_0001_s2b4_p548_h844_41_packed_class	1	0	0	0	1	7545	7538	288	2868	43	709	7206	5765	40	967	0	47	12	2560	2	4	3	4	0	4	0	2868	0	0	0	381	376	384	384
v000_zurich_city_09_a_0001_s2b4_p548_h844_41_packed_class	1	0	0	1	0	2750	2743	288	2868	43	709	7206	5765	0	0	0	0	7	2560	2	4	4	4	1	3	0	2868	0	0	0	381	376	384	384
v000_zurich_city_09_a_0001_s2b4_p548_h844_41_packed_class	1	0	0	1	1	7496	7489	288	2868	43	709	7206	5765	46	996	0	68	12	2560	1	4	3	4	1	3	0	2868	0	0	0	381	376	384	384
v000_zurich_city_09_a_0001_s2b4_p548_h844_41_packed_class	1	0	1	0	0	7162	7155	288	8897	0	709	7206	5765	0	0	0	0	7	2560	2	4	4	4	1	3	6072	2825	10074	203	43	381	376	1145	1130
v000_zurich_city_09_a_0001_s2b4_p548_h844_41_packed_class	1	0	1	0	1	22217	22210	288	8897	0	709	7206	5765	44	3089	0	46	13	2560	1	4	4	4	2	2	6072	2825	17187	203	43	381	376	1145	1130
v000_zurich_city_09_a_0001_s2b4_p548_h844_41_packed_class	1	0	1	1	0	7162	7155	288	8897	0	709	7206	5765	0	0	0	0	7	2560	2	4	4	4	1	3	6072	2825	10074	203	43	381	376	1145	1130
v000_zurich_city_09_a_0001_s2b4_p548_h844_41_packed_class	1	0	1	1	1	22388	22381	288	8897	0	709	7206	5765	41	2973	0	42	12	2560	1	4	4	4	1	3	6072	2825	17219	203	43	381	376	1145	1130
v000_zurich_city_09_a_0001_s2b4_p548_h844_41_packed_time	1	1	0	0	0	2719	2712	288	2868	43	709	10617	7613	0	0	0	0	6	2304	2	4	4	4	0	3	0	2868	0	0	0	381	376	384	384
v000_zurich_city_09_a_0001_s2b4_p548_h844_41_packed_time	1	1	0	0	1	7433	7426	288	2868	43	709	10617	7613	35	913	0	31	11	2304	2	4	3	3	0	4	0	2868	0	0	0	381	376	384	384
v000_zurich_city_09_a_0001_s2b4_p548_h844_41_packed_time	1	1	0	1	0	2715	2708	288	2868	43	709	10617	7613	0	0	0	0	5	2304	2	4	4	4	1	2	0	2868	0	0	0	381	376	384	384
v000_zurich_city_09_a_0001_s2b4_p548_h844_41_packed_time	1	1	0	1	1	7467	7460	288	2868	43	709	10617	7613	50	960	0	31	13	2304	2	4	3	4	1	2	0	2868	0	0	0	381	376	384	384
v000_zurich_city_09_a_0001_s2b4_p548_h844_41_packed_time	1	1	1	0	0	7128	7121	288	8897	0	709	10617	7613	0	0	0	0	11	2304	2	4	4	4	1	3	6072	2825	10074	203	43	381	376	1145	1130
