case,real,order,mode,bp,packed32,prefetch,frontier,cycles,channels,batches,pairs,scalar_mac,words,xwords,graph_words,prefetch_words,graph_hits,req_stall,out_stall,state0,state1,state2,state3,state4,state5,state6,state7,state8,state9,state10,state11,state12,state13
train0_p14,1,1,2,1,1,1,1,1369,69,50,423,4230,275,138,116,89,323,104,9,1,30,57,6,175,0,335,50,500,150,50,0,15,1
train0_p14,1,1,3,0,1,1,0,1148,54,54,540,5400,249,108,120,110,348,0,0,1,21,21,6,121,0,162,54,540,162,54,0,6,1
train0_p14,1,1,3,0,1,1,1,1082,69,50,421,4210,276,138,117,91,318,0,0,1,21,21,6,121,0,156,50,500,150,50,0,6,1
train0_p14,1,1,3,1,1,1,0,1392,54,54,540,5400,249,108,120,110,348,82,4,1,27,54,6,144,0,340,54,540,162,54,0,10,1
train0_p14,1,1,3,1,1,1,1,1346,69,50,421,4210,276,138,117,91,318,85,2,1,27,54,6,162,0,338,50,500,150,50,0,8,1
train0_p15,1,1,1,0,1,1,0,1297,64,64,640,6400,158,128,0,116,0,0,0,1,30,30,6,0,70,134,64,640,192,64,60,6,1
train0_p15,1,1,1,1,1,1,0,1379,64,64,640,6400,158,128,0,116,0,86,3,1,39,77,6,0,70,157,64,640,192,64,60,9,1
train0_p15,1,1,2,0,1,1,0,1045,49,49,490,4900,220,98,101,93,345,0,0,1,21,21,6,108,0,147,49,490,147,49,0,6,1
train0_p15,1,1,2,0,1,1,1,977,54,45,409,4090,228,108,99,86,334,0,0,1,21,21,6,108,0,139,45,450,135,45,0,6,1
train0_p15,1,1,2,1,1,1,0,1269,49,49,490,4900,220,98,101,93,345,68,2,1,30,57,6,121,0,311,49,490,147,49,0,8,1
train0_p15,1,1,2,1,1,1,1,1225,54,45,409,4090,228,108,99,86,334,81,2,1,30,57,6,141,0,307,45,450,135,45,0,8,1
train0_p15,1,1,3,0,1,1,0,1045,49,49,490,4900,220,98,101,93,345,0,0,1,21,21,6,108,0,147,49,490,147,49,0,6,1
train0_p15,1,1,3,0,1,1,1,977,54,45,409,4090,227,108,98,85,334,0,0,1,21,21,6,108,0,139,45,450,135,45,0,6,1
train0_p15,1,1,3,1,1,1,0,1271,49,49,490,4900,220,98,101,93,345,66,3,1,27,54,6,126,0,313,49,490,147,49,0,9,1
train0_p15,1,1,3,1,1,1,1,1214,54,45,409,4090,227,108,98,85,334,86,4,1,27,54,6,134,0,307,45,450,135,45,0,10,1
train0_p16,1,1,1,0,1,1,0,1297,64,64,640,6400,158,128,0,116,0,0,0,1,30,30,6,0,70,134,64,640,192,64,60,6,1
train0_p16,1,1,1,1,1,1,0,1379,64,64,640,6400,158,128,0,116,0,86,3,1,39,77,6,0,70,157,64,640,192,64,60,9,1
train0_p16,1,1,2,0,1,1,0,1026,48,48,480,4800,214,96,97,90,345,0,0,1,21,21,6,107,0,144,48,480,144,48,0,6,1
train0_p16,1,1,2,0,1,1,1,1000,58,46,407,4070,231,116,94,80,328,0,0,1,21,21,6,111,0,144,46,460,138,46,0,6,1
train0_p16,1,1,2,1,1,1,0,1247,48,48,480,4800,214,96,97,90,345,60,6,1,30,57,6,123,0,298,48,480,144,48,0,12,1
train0_p16,1,1,2,1,1,1,1,1249,58,46,407,4070,231,116,94,80,328,76,3,1,30,57,6,137,0,319,46,460,138,46,0,9,1
train0_p16,1,1,3,0,1,1,0,1027,48,48,480,4800,213,96,96,88,342,0,0,1,21,21,6,108,0,144,48,480,144,48,0,6,1
train0_p16,1,1,3,0,1,1,1,1001,58,46,406,4060,230,116,93,78,325,0,0,1,21,21,6,112,0,144,46,460,138,46,0,6,1
train0_p16,1,1,3,1,1,1,0,1243,48,48,480,4800,213,96,96,88,342,60,0,1,27,54,6,124,0,305,48,480,144,48,0,6,1
train0_p16,1,1,3,1,1,1,1,1253,58,46,406,4060,230,116,93,78,325,70,0,1,27,54,6,140,0,329,46,460,138,46,0,6,1
train0_p17,1,1,1,0,1,1,0,1297,64,64,640,6400,158,128,0,116,0,0,0,1,30,30,6,0,70,134,64,640,192,64,60,6,1
train0_p17,1,1,1,1,1,1,0,1379,64,64,640,6400,158,128,0,116,0,86,3,1,39,77,6,0,70,157,64,640,192,64,60,9,1
train0_p17,1,1,2,0,1,1,0,1107,52,52,520,5200,237,104,112,103,349,0,0,1,21,21,6,116,0,156,52,520,156,52,0,6,1
train0_p17,1,1,2,0,1,1,1,999,61,46,412,4120,250,122,107,84,308,0,0,1,21,21,6,114,0,140,46,460,138,46,0,6,1
train0_p17,1,1,2,1,1,1,0,1335,52,52,520,5200,237,104,112,103,349,79,4,1,30,57,6,130,0,321,52,520,156,52,0,10,1
train0_p17,1,1,2,1,1,1,1,1291,61,46,412,4120,250,122,107,84,308,103,6,1,30,57,6,168,0,327,46,460,138,46,0,12,1
train0_p17,1,1,3,0,1,1,0,1107,52,52,520,5200,235,104,110,101,347,0,0,1,21,21,6,116,0,156,52,520,156,52,0,6,1
train0_p17,1,1,3,0,1,1,1,999,60,46,410,4100,245,120,104,81,306,0,0,1,21,21,6,114,0,140,46,460,138,46,0,6,1
