case,real,order,mode,bp,packed32,prefetch,cycles,channels,scalar_mac,words,xwords,graph_words,prefetch_words,graph_hits,req_stall,out_stall,state0,state1,state2,state3,state4,state5,state6,state7,state8,state9,state10,state11,state12,state13
train3_p11,1,1,3,1,1,1,1287,50,5000,231,100,110,100,315,63,2,1,27,54,6,127,0,314,50,500,150,50,0,8,1
train3_p12,1,1,2,0,1,1,1251,59,5900,311,118,172,155,376,0,0,1,21,21,6,134,0,177,59,590,177,59,0,6,1
train3_p12,1,1,2,1,1,1,1524,59,5900,311,118,172,155,376,118,3,1,30,57,6,171,0,365,59,590,177,59,0,9,1
train3_p12,1,1,3,0,1,1,1212,57,5700,297,114,162,145,348,0,0,1,21,21,6,131,0,171,57,570,171,57,0,6,1
train3_p12,1,1,3,1,1,1,1482,57,5700,297,114,162,145,348,93,4,1,27,54,6,162,0,367,57,570,171,57,0,10,1
train3_p13,1,1,2,0,1,1,1088,51,5100,240,102,117,105,343,0,0,1,21,21,6,115,0,153,51,510,153,51,0,6,1
train3_p13,1,1,2,1,1,1,1329,51,5100,240,102,117,105,343,69,0,1,30,57,6,137,0,327,51,510,153,51,0,6,1
train3_p13,1,1,3,0,1,1,1030,48,4800,226,96,109,97,315,0,0,1,21,21,6,111,0,144,48,480,144,48,0,6,1
train3_p13,1,1,3,1,1,1,1269,48,4800,226,96,109,97,315,72,6,1,27,54,6,144,0,305,48,480,144,48,0,12,1
train3_p14,1,1,2,0,1,1,1128,53,5300,240,106,113,104,343,0,0,1,21,21,6,119,0,159,53,530,159,53,0,6,1
train3_p14,1,1,2,1,1,1,1380,53,5300,240,106,113,104,343,85,0,1,30,57,6,139,0,346,53,530,159,53,0,6,1
train3_p14,1,1,3,0,1,1,1070,50,5000,230,100,109,99,314,0,0,1,21,21,6,115,0,150,50,500,150,50,0,6,1
train3_p14,1,1,3,1,1,1,1287,50,5000,230,100,109,99,314,63,2,1,27,54,6,127,0,314,50,500,150,50,0,8,1
train3_p15,1,1,2,0,1,1,1208,57,5700,271,114,136,126,346,0,0,1,21,21,6,127,0,171,57,570,171,57,0,6,1
train3_p15,1,1,2,1,1,1,1485,57,5700,271,114,136,126,346,91,5,1,30,57,6,155,0,370,57,570,171,57,0,11,1
train3_p15,1,1,3,0,1,1,1190,56,5600,266,112,133,122,319,0,0,1,21,21,6,127,0,168,56,560,168,56,0,6,1
train3_p15,1,1,3,1,1,1,1445,56,5600,266,112,133,122,319,98,2,1,27,54,6,147,0,362,56,560,168,56,0,8,1
train3_p16,1,1,2,0,1,1,1289,61,6100,298,122,155,142,376,0,0,1,21,21,6,136,0,183,61,610,183,61,0,6,1
train3_p16,1,1,2,1,1,1,1569,61,6100,298,122,155,142,376,104,2,1,30,57,6,170,0,382,61,610,183,61,0,8,1
train3_p16,1,1,3,0,1,1,1230,58,5800,285,116,148,135,355,0,0,1,21,21,6,131,0,174,58,580,174,58,0,6,1
