case,real,mode,bp,cycles,source_to_gate,boot_cycles,fc_cycles,psn_cycles,words,coeff_words,updates,mac,jobs,zero_jobs,bank_skips,psn_wait,peak_words,peak_desc,out_stall,bank_req_stall
real_v0_tile599_h3,1,3,1,6891,5387,1503,1048,3966,1080,680,1033,2750,85,0,0,0,24,3,128,360
real_v0_tile599_h3,1,4,0,5993,5198,794,1040,3838,1077,680,1033,2750,85,0,0,0,24,3,0,0
real_v0_tile599_h3,1,4,1,6870,5380,1489,1044,3963,1077,680,1033,2750,85,0,0,0,24,3,125,333
real_v1_tile0_h0,1,0,0,6378,5613,764,2139,3154,742,360,2132,2080,60,0,0,0,24,4,0,0
real_v1_tile0_h0,1,0,1,7243,5804,1438,2143,3288,742,360,2132,2080,60,0,0,0,24,4,134,209
real_v1_tile0_h0,1,1,0,4965,4176,788,702,3154,1234,840,690,2080,70,0,0,0,24,2,0,0
real_v1_tile0_h0,1,1,1,5945,4461,1483,805,3283,1234,840,690,2080,70,0,0,0,24,2,129,344
real_v1_tile0_h0,1,2,0,4960,4171,788,697,3154,954,560,690,2080,70,0,0,0,24,3,0,0
real_v1_tile0_h0,1,2,1,5857,4373,1483,717,3283,954,560,690,2080,70,0,0,0,24,3,129,280
real_v1_tile0_h0,1,3,0,4972,4171,800,697,3154,960,560,690,2080,70,0,0,0,24,3,0,0
real_v1_tile0_h0,1,3,1,5890,4375,1513,717,3285,960,560,690,2080,70,0,0,0,24,3,131,299
real_v1_tile0_h0,1,4,0,4966,4171,794,697,3154,957,560,690,2080,70,0,0,0,24,3,0,0
real_v1_tile0_h0,1,4,1,5868,4376,1491,715,3287,957,560,690,2080,70,0,0,0,24,3,133,283
real_v1_tile0_h1,1,0,0,6378,5613,764,2139,3154,742,360,2132,2080,60,0,0,0,24,4,0,0
real_v1_tile0_h1,1,0,1,7243,5798,1443,2142,3283,742,360,2132,2080,60,0,0,0,24,4,129,225
real_v1_tile0_h1,1,1,0,4965,4176,788,702,3154,1234,840,690,2080,70,0,0,0,24,2,0,0
real_v1_tile0_h1,1,1,1,5967,4478,1488,824,3281,1234,840,690,2080,70,0,0,0,24,2,127,420
real_v1_tile0_h1,1,2,0,4960,4171,788,697,3154,954,560,690,2080,70,0,0,0,24,3,0,0
real_v1_tile0_h1,1,2,1,5857,4368,1488,714,3281,954,560,690,2080,70,0,0,0,24,3,127,305
real_v1_tile0_h1,1,3,0,4972,4171,800,697,3154,960,560,690,2080,70,0,0,0,24,3,0,0
real_v1_tile0_h1,1,3,1,5879,4371,1506,717,3281,960,560,690,2080,70,0,0,0,24,3,127,291
real_v1_tile0_h1,1,4,0,4966,4171,794,697,3154,957,560,690,2080,70,0,0,0,24,3,0,0
real_v1_tile0_h1,1,4,1,5868,4367,1499,714,3280,957,560,690,2080,70,0,0,0,24,3,126,302
real_v1_tile0_h2,1,0,0,6378,5613,764,2139,3154,742,360,2132,2080,60,0,0,0,24,4,0,0
