receipt,fixture,first_tile,tiles,mode,stall,command,total_cycles,static_words,source_load_words,external_source_words,padding_words,core_weight_words,core_z_vector_reads,core_z_writes,core_psum_reads,core_psum_writes,core_first_issues,core_mac_issues,core_output_stalls,consumer_cycles,consumer_join_wait_cycles,consumer_output_stalls,output_beats
results.json,padding_poison,,,1,1,0,58728,1848,1536,864,672,958,14400,14380,0,480,14360,3720,0,54709,51047,277,480
results.json,padding_poison,,,1,1,1,56727,0,1536,864,672,958,14400,14380,0,480,14360,3720,0,54710,51023,302,480
results.json,padding_poison,,,2,0,0,57737,1848,1536,864,672,958,14400,14380,0,0,14360,3720,0,54349,50964,0,480
results.json,padding_poison,,,2,0,1,55889,0,1536,864,672,958,14400,14380,0,0,14360,3720,0,54349,50964,0,480
results.json,padding_poison,,,2,1,0,58728,1848,1536,864,672,958,14400,14380,0,0,14360,3720,0,54709,51047,277,480
results.json,padding_poison,,,2,1,1,56727,0,1536,864,672,958,14400,14380,0,0,14360,3720,0,54710,51023,302,480
results.json,identity_ties_sat,,,0,0,0,12112,1848,1536,1536,0,0,40,20,480,480,0,0,2419,8724,5339,0,480
results.json,identity_ties_sat,,,0,0,1,10264,0,1536,1536,0,0,40,20,480,480,0,0,2419,8724,5339,0,480
results.json,identity_ties_sat,,,0,1,0,13402,1848,1536,1536,0,0,40,20,480,480,0,0,2806,9246,5592,269,480
results.json,identity_ties_sat,,,0,1,1,11397,0,1536,1536,0,0,40,20,480,480,0,0,2805,9243,5589,269,480
results.json,identity_ties_sat,,,1,0,0,11109,1848,1536,1536,0,0,40,20,0,480,0,0,1896,7721,4336,0,480
results.json,identity_ties_sat,,,1,0,1,9261,0,1536,1536,0,0,40,20,0,480,0,0,1896,7721,4336,0,480
results.json,identity_ties_sat,,,1,1,0,12412,1848,1536,1536,0,0,40,20,0,480,0,0,2296,8256,4597,274,480
results.json,identity_ties_sat,,,1,1,1,10399,0,1536,1536,0,0,40,20,0,480,0,0,2288,8245,4591,269,480
results.json,identity_ties_sat,,,2,0,0,11109,1848,1536,1536,0,0,40,20,0,0,0,0,1896,7721,4336,0,480
results.json,identity_ties_sat,,,2,0,1,9261,0,1536,1536,0,0,40,20,0,0,0,0,1896,7721,4336,0,480
results.json,identity_ties_sat,,,2,1,0,12412,1848,1536,1536,0,0,40,20,0,0,0,0,2296,8256,4597,274,480
results.json,identity_ties_sat,,,2,1,1,10399,0,1536,1536,0,0,40,20,0,0,0,0,2288,8245,4591,269,480
results.json,product_ties,,,0,0,0,11793,1848,1536,1536,0,13,60,40,480,480,20,480,2419,8405,5020,0,480
