fixture,mode,stall,command,total_cycles,static_words,source_load_words,core_cycles,core_encoder_cycles,core_candidate_trials,core_mac_issues,core_base_reads,core_base_negations,core_reference_writes,core_choice_prev,core_choice_anchor,core_choice_neg1,core_choice_pos2,core_choice_neg2,core_range_rejects,consumer_cycles,consumer_join_wait_cycles,consumer_output_stalls
zero,1,0,0,12192,1848,1536,8798,80,0,0,0,0,0,0,0,0,0,0,0,8804,5419,0
zero,1,0,1,10344,0,1536,8798,80,0,0,0,0,0,0,0,0,0,0,0,8804,5419,0
zero,1,1,0,13479,1848,1536,9317,80,0,0,0,0,0,0,0,0,0,0,0,9323,5669,269
zero,1,1,1,11484,0,1536,9324,80,0,0,0,0,0,0,0,0,0,0,0,9330,5672,273
zero,2,0,0,12192,1848,1536,8798,80,0,0,0,0,0,0,0,0,0,0,0,8804,5419,0
zero,2,0,1,10344,0,1536,8798,80,0,0,0,0,0,0,0,0,0,0,0,8804,5419,0
zero,2,1,0,13479,1848,1536,9317,80,0,0,0,0,0,0,0,0,0,0,0,9323,5669,269
zero,2,1,1,11484,0,1536,9324,80,0,0,0,0,0,0,0,0,0,0,0,9330,5672,273
one,0,0,0,68916,1848,1536,65522,0,0,3360,0,0,0,0,0,0,0,0,0,65528,62143,0
one,0,0,1,67068,0,1536,65522,0,0,3360,0,0,0,0,0,0,0,0,0,65528,62143,0
one,0,1,0,70554,1848,1536,66392,0,0,3360,0,0,0,0,0,0,0,0,0,66398,62743,270
one,0,1,1,68549,0,1536,66389,0,0,3360,0,0,0,0,0,0,0,0,0,66395,62742,268
one,1,0,0,66044,1848,1536,62650,152,36,336,0,0,0,36,0,0,0,0,0,62656,59271,0
one,1,0,1,64196,0,1536,62650,152,36,336,0,0,0,36,0,0,0,0,0,62656,59271,0
one,1,1,0,67687,1848,1536,63522,152,36,336,0,0,0,36,0,0,0,0,0,63531,59875,271
one,1,1,1,65682,0,1536,63521,152,36,336,0,0,0,36,0,0,0,0,0,63528,59875,268
one,2,0,0,66044,1848,1536,62650,152,36,336,0,0,0,36,0,0,0,0,0,62656,59271,0
one,2,0,1,64196,0,1536,62650,152,36,336,0,0,0,36,0,0,0,0,0,62656,59271,0
one,2,1,0,67687,1848,1536,63522,152,36,336,0,0,0,36,0,0,0,0,0,63531,59875,271
one,2,1,1,65682,0,1536,63521,152,36,336,0,0,0,36,0,0,0,0,0,63528,59875,268
padding_poison,0,0,0,60636,1848,1536,57242,0,0,3720,0,0,0,0,0,0,0,0,0,57248,53863,0
padding_poison,0,0,1,58788,0,1536,57242,0,0,3720,0,0,0,0,0,0,0,0,0,57248,53863,0
padding_poison,0,1,0,62012,1848,1536,57986,0,0,3720,0,0,0,0,0,0,0,0,0,57993,54338,270
padding_poison,0,1,1,60009,0,1536,57986,0,0,3720,0,0,0,0,0,0,0,0,0,57992,54338,269
padding_poison,1,0,0,57440,1848,1536,54046,152,36,372,0,0,0,36,0,0,0,0,0,54052,50667,0
padding_poison,1,0,1,55592,0,1536,54046,152,36,372,0,0,0,36,0,0,0,0,0,54052,50667,0
padding_poison,1,1,0,58822,1848,1536,54796,152,36,372,0,0,0,36,0,0,0,0,0,54803,51145,273
padding_poison,1,1,1,56819,0,1536,54796,152,36,372,0,0,0,36,0,0,0,0,0,54802,51146,271
padding_poison,2,0,0,57440,1848,1536,54046,152,36,372,0,0,0,36,0,0,0,0,0,54052,50667,0
padding_poison,2,0,1,55592,0,1536,54046,152,36,372,0,0,0,36,0,0,0,0,0,54052,50667,0
padding_poison,2,1,0,58822,1848,1536,54796,152,36,372,0,0,0,36,0,0,0,0,0,54803,51145,273
padding_poison,2,1,1,56819,0,1536,54796,152,36,372,0,0,0,36,0,0,0,0,0,54802,51146,271
identity_ties_sat,0,0,0,12112,1848,1536,8718,0,0,0,0,0,0,0,0,0,0,0,0,8724,5339,0
identity_ties_sat,0,0,1,10264,0,1536,8718,0,0,0,0,0,0,0,0,0,0,0,0,8724,5339,0
identity_ties_sat,0,1,0,13402,1848,1536,9237,0,0,0,0,0,0,0,0,0,0,0,0,9246,5592,269
identity_ties_sat,0,1,1,11397,0,1536,9236,0,0,0,0,0,0,0,0,0,0,0,0,9243,5589,269
identity_ties_sat,1,0,0,12192,1848,1536,8798,80,0,0,0,0,0,0,0,0,0,0,0,8804,5419,0
identity_ties_sat,1,0,1,10344,0,1536,8798,80,0,0,0,0,0,0,0,0,0,0,0,8804,5419,0
identity_ties_sat,1,1,0,13479,1848,1536,9317,80,0,0,0,0,0,0,0,0,0,0,0,9323,5669,269
identity_ties_sat,1,1,1,11484,0,1536,9324,80,0,0,0,0,0,0,0,0,0,0,0,9330,5672,273
identity_ties_sat,2,0,0,12192,1848,1536,8798,80,0,0,0,0,0,0,0,0,0,0,0,8804,5419,0
identity_ties_sat,2,0,1,10344,0,1536,8798,80,0,0,0,0,0,0,0,0,0,0,0,8804,5419,0
identity_ties_sat,2,1,0,13479,1848,1536,9317,80,0,0,0,0,0,0,0,0,0,0,0,9323,5669,269
identity_ties_sat,2,1,1,11484,0,1536,9324,80,0,0,0,0,0,0,0,0,0,0,0,9330,5672,273
product_ties,0,0,0,11793,1848,1536,8399,0,0,480,0,0,0,0,0,0,0,0,0,8405,5020,0
product_ties,0,0,1,9945,0,1536,8399,0,0,480,0,0,0,0,0,0,0,0,0,8405,5020,0
product_ties,0,1,0,13117,1848,1536,8954,0,0,480,0,0,0,0,0,0,0,0,0,8961,5303,273
product_ties,0,1,1,11114,0,1536,8954,0,0,480,0,0,0,0,0,0,0,0,0,8960,5304,271
product_ties,1,0,0,11513,1848,1536,8119,152,36,48,0,0,0,36,0,0,0,0,0,8125,4740,0
product_ties,1,0,1,9665,0,1536,8119,152,36,48,0,0,0,36,0,0,0,0,0,8125,4740,0
product_ties,1,1,0,12834,1848,1536,8672,152,36,48,0,0,0,36,0,0,0,0,0,8678,5023,270
product_ties,1,1,1,10832,0,1536,8671,152,36,48,0,0,0,36,0,0,0,0,0,8678,5024,269
